title,foreign/ghana,model,make,year_of_manufacture,body_type,mileage_km,transmission,fuel_type,engine_capacity,trim/edition,location,registered,registration_year,market_value
Hyundai Elantra 2016,g,elantra,hyundai,2016,sedan,51231.0,a,p,1.8,standard,GA,y,2022,50000.0
Hyundai Elantra Full option 2016,g,elantra,hyundai,2016,sedan,88000.0,a,p,1.8,full option,GA,y,2021,55000.0
Hyundai Elantra Limited Edition 2016,f,elantra,hyundai,2016,sedan,46000.0,a,p,1.8,full option,GA,n,0,60000.0
Hyundai Elantra limited Edition 2016,g,elantra,hyundai,2016,sedan,65432.0,a,p,1.8,standard,GA,y,2021,48000.0
Hyundai Elantra 2016,g,elantra,hyundai,2016,sedan,51234.0,a,p,1.8,standard,GA,y,2022,50000.0
Hyundai Elantra 2016,f,elantra,hyundai,2016,sedan,74656.0,a,p,1.8,full option,AR,n,0,50000.0
Hyundai Elantra Limited 2016,f,elantra,hyundai,2016,sedan,85140.0,a,p,2.0,full option,GA,n,0,60000.0
Hyundai Elantra SE 2016,f,elantra,hyundai,2016,sedan,90253.0,a,p,1.8,standard,GA,n,0,55000.0
Hyundai Elantra 2016,f,elantra,hyundai,2016,sedan,51000.0,a,p,1.8,standard,GA,n,0,60000.0
Hyundai Elantra Limited/Sports 2016,f,elantra,hyundai,2016,sedan,65332.0,a,p,1.8,sports,GA,n,0,65000.0
Hyundai Elantra sports 2016,g,elantra,hyundai,2016,sedan,82000.0,a,p,1.8,sports,GA,y,2020,41000.0
Hyundai Elantra 2014,g,elantra,hyundai,2014,sedan,84123.0,a,p,1.8,standard,AR,y,2014,39000.0
Hyundai Elantra Auto 2014,g,elantra,hyundai,2014,sedan,57009.0,a,p,1.8,standard,AR,y,2018,40000.0
Hyundai Elantra Limited 2014,g,elantra,hyundai,2014,sedan,66112.0,a,p,1.8,standard,AR,y,2019,43000.0
Hyundai Elantra,g,elantra,hyundai,2014,sedan,85432.0,a,p,1.8,standard,GA,y,2020,39000.0
Hyundai Elantra 2014 edition,g,elantra,hyundai,2014,sedan,84004.0,a,p,1.8,standard,GA,y,2021,43000.0
Hyundai Elantra le 2014,g,elantra,hyundai,2014,sedan,85432.0,a,p,1.8,full option,GA,y,2021,47000.0
Hyundai Elantra Special 2014,g,elantra,hyundai,2014,sedan,52334.0,a,p,1.8,full option,GA,y,2014,36000.0
Hyundai Elantra Sports 2014,g,elantra,hyundai,2014,sedan,45334.0,a,p,1.8,full option,GA,y,2014,35000.0
Hyundai Elantra 2014,g,elantra,hyundai,2014,sedan,56984.0,a,p,1.8,standard,GA,y,2014,34000.0
Hyundai Elantra 2014,g,elantra,hyundai,2014,sedan,55003.0,a,p,1.8,standard,GA,y,2019,38000.0
Hyundai Elantra 2014,f,elantra,hyundai,2014,sedan,48100.0,a,p,1.8,standard,GA,n,0,45000.0
Hyundai Elantra Limited 2014,f,elantra,hyundai,2014,sedan,33455.0,a,p,1.8,full option,GA,n,0,51000.0
Hyundai Elantra 2018,f,elantra,hyundai,2018,sedan,31203.0,a,p,2.0,standard,GA,n,0,78000.0
Hyundai Elantra W8 Color 2018,f,elantra,hyundai,2018,sedan,52343.0,a,p,2.0,standard,GA,n,0,76000.0
Hyundai Elantra Sports 2018,f,elantra,hyundai,2018,sedan,32455.0,a,p,2.0,sports,GA,n,0,77000.0
Hyundai Elantra Limited 2018,f,elantra,hyundai,2018,sedan,42335.0,a,p,2.0,standard,GA,n,0,76000.0
Hyundai Elantra SEL 8W-Color 2018,f,elantra,hyundai,2018,sedan,53456.0,a,p,2.0,standard,GA,n,0,77000.0
Hyundai Elantra Limited 2018,g,elantra,hyundai,2018,sedan,61334.0,a,p,2.0,full option,GA,y,2021,71000.0
"
Hyundai Elantra 2018",g,elantra,hyundai,2018,sedan,57213.0,a,p,2.0,standard,GA,y,2021,69000.0
Hyundai Elantra Limited 2020,f,elantra,hyundai,2020,sedan,3611.0,a,p,1.8,full option,GA,n,0,105000.0
Hyundai Elantra Se 2020,f,elantra,hyundai,2020,sedan,4234.0,a,p,2.0,full option,GA,n,0,105000.0
Hyundai Elantra 2012,g,elantra,hyundai,2012,sedan,37544.0,a,p,1.8,standard,GA,y,2016,38000.0
Hyundai Elantra 2012,g,elantra,hyundai,2012,sedan,73123.0,a,p,1.8,full option,GA,y,2020,41000.0
Hyundai Elantra le 2012,g,elantra,hyundai,2012,sedan,98533.0,a,p,1.8,standard,GA,y,2015,32000.0
Hyundai Elantra Limited 1.8 ✅ 2012,g,elantra,hyundai,2012,sedan,75398.0,a,p,1.8,standard,GA,y,2015,33000.0
Hyundai Elantra Limited edition 2012,g,elantra,hyundai,2012,sedan,71000.0,a,p,1.8,full option,GA,y,2017,38000.0
Hyundai Elantra Full Optioned ✅ 2012,g,elantra,hyundai,2012,sedan,50934.0,a,p,1.8,full option,GA,y,2018,37000.0
Hyundai Elantra 2012,g,elantra,hyundai,2012,sedan,122111.0,a,p,1.8,standard,GA,y,2016,28000.0
Hyundai Elantra 2012,g,elantra,hyundai,2012,sedan,96344.0,a,p,1.8,standard,GA,y,2019,36000.0
Hyundai Elantra Bluetooth 2012,f,elantra,hyundai,2012,sedan,45663.0,a,p,1.8,standard,GA,n,0,43000.0
Hyundai Elantra 2012,g,elantra,hyundai,2012,sedan,78000.0,a,p,1.8,standard,GA,y,2019,38000.0
Hyundai Elantra beautiful 2012,f,elantra,hyundai,2012,sedan,68993.0,a,p,1.8,standard,GA,n,0,43000.0
